title,rating,duration,year,Action,Adventure,Animation,Biography,Comedy,Documentary,Drama,Family,Fantasy,History,Horror,Musical,Mystery,RealityTV,Romance,SciFi,Thriller,War,Western
Silver Linings ,7.2,3720,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Short Term 12 ,7.4,3900,2012,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Once Upon a Time in Wonderland Down the Rabbit Hole ,7.1,4500,2012,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Nikita Shadow Walker ,7.7,4500,2012,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Hart of Dixie The Gambler ,7.1,4680,2012,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RuPaul's Drag Race Queens of Talk ,7.1,4740,2012,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
How It Should Have Ended Harry Potter and the Best Picture Summary ,6.8,4860,2012,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Winter's Tale ,5.9,4920,2012,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
We Are What We Are ,5.5,4980,2012,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Snow White and the Huntsman ,5.8,4980,2012,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult World ,5.6,5040,2012,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
Face Off Guitar Gods ,6.6,5040,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Return to Babylon ,6.5,5100,2012,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Raja Rani ,7.1,5160,2012,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
The Cinema Snob The Last House on the Left ,7.5,5160,2012,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2-Headed Shark Attack ,2.5,5280,2012,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Weaverfish ,5.9,5280,2012,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Alcatraz ,6.4,5280,2012,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
The Mindy Project In the Club ,6.5,5280,2012,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flight ,6.7,5280,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shark Week ,2.4,5340,2012,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Malibu Country ,5.7,5340,2012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Partners ,5.8,5340,2012,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
Pawn Stars Million Dali Baby ,5.9,5340,2012,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Rio 2 - Dschungelfieber ,6.2,5340,2012,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ishq ,7,5340,2012,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
End of Watch ,7.1,5340,2012,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Grand Masti ,4.2,5400,2012,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
Dangerous Edge: A Life of Graham Greene ,7,5400,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Major Crimes ,7,5400,2012,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Girls All Adventurous Women Do ,7.1,5400,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vielleicht lieber morgen ,7.4,5400,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psych Right Turn or Left for Dead ,7.6,5400,2012,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Ted ,6.5,5460,2012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Tonight Show with Jay Leno Episode #20.86 ,6.7,5460,2012,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Killing Them Softly ,5.8,5520,2012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Guys with Kids ,5.9,5520,2012,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Stevie TV ,5.9,5520,2012,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anchorman 2 ,6.3,5520,2012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7 Psychos ,6.6,5520,2012,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Looper ,7,5520,2012,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skinwalker Ranch ,4.9,5580,2012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Power of Few ,5.2,5580,2012,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Singh Saab the Great ,5.8,5580,2012,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Total Recall ,6,5580,2012,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Killers ,7,5580,2012,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Nostalgia Critic To Boldly Flee: Part V ,7.2,5580,2012,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psych Autopsy Turvy ,7.6,5580,2012,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
God's Not Dead ,4.3,5640,2012,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96 Hours - Taken 2 ,5.9,5640,2012,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
Premium Rush ,6.2,5640,2012,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Mad James Bond: Reply All/Randy Savage: 9th Grade Wrestler ,6.2,5640,2012,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Wir sind die Millers ,6.5,5640,2012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ghost Movie ,4.9,5700,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red Lights ,5.8,5700,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dark Shadows ,5.9,5700,2012,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Upside Down ,6.1,5700,2012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
The Battle of Amfar ,6.4,5700,2012,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
Peter O'Toole: Live from the TCM Classic Film Festival ,6.6,5700,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frances Ha ,7,5700,2012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Saturday Night Live Zach Galifianakis/Of Monsters and Men ,7.1,5700,2012,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
Before Midnight ,7.3,5700,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Blacklist The Freelancer ,7.3,5700,2012,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Would You Rather ,5.5,5760,2012,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Amazing Spider-Man 2: Rise of Electro ,6.9,5760,2012,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Inside Llewyn Davis ,7.1,5760,2012,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Last Ounce of Courage ,4.1,5820,2012,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Savages ,6.2,5820,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Magic of Belle Isle - Ein verzauberter Sommer ,6.4,5820,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue Jasmine ,6.8,5820,2012,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Face Off Dark Magic ,6.8,5880,2012,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Graham Norton Show Quentin Tarantino/James McAvoy/Alan Davies/Emeli Sandé ,6.9,5880,2012,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Cold Light of Day ,4.5,5940,2012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Cleveland Show American Prankster ,5.8,5940,2012,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Raid 2: Berandal ,7.7,5940,2012,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lockout ,5.7,6000,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Underworld: Awakening ,6.1,6000,2012,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
That Guy... Who Was in That Thing ,6.5,6000,2012,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mutter & Sohn ,7.1,6000,2012,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
South Park World War Zimmerman ,7.1,6000,2012,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Soldiers of Fortune ,4.2,6060,2012,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
John Le Mesurier: It's All Been Rather Lovely ,6.4,6060,2012,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
The Kings of Summer ,6.7,6060,2012,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
American Hustle ,7,6060,2012,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Last Days on Mars ,5.3,6120,2012,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
The Machine ,5.7,6120,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Smashed ,6.3,6120,2012,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
71st Golden Globe Awards ,6.6,6120,2012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Star Trek: Into Darkness ,7.2,6120,2012,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
In ihrem Haus ,6.8,6180,2012,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
RuPaul's Drag Race Draggle Rock ,7.2,6180,2012,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Demo Reel Lost in Translation ,7.2,6240,2012,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
G.I. Joe - Die Abrechnung ,5.5,6300,2012,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Room 237 ,5.9,6300,2012,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Revolution Exposition Boulevard ,7.4,6300,2012,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
The Swan Princess: A Royal Family Tale ,5.6,6360,2012,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Nostalgia Critic Patch Adams ,6.9,6360,2012,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Resurrection ,7.1,6360,2012,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Cinema Snob Friday the 13th Part 2 ,6.7,6420,2012,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Horror Europa with Mark Gatiss ,7.1,6420,2012,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Hot in Cleveland That Changes Everything ,7.6,6420,2012,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Gone ,5.6,6480,2012,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
Satyagraha ,5.7,6480,2012,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Back in the Game ,6.3,6480,2012,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Fargo ,7.7,6480,2012,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Big Bad Wolves ,6.4,6540,2012,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
Justice League: War ,6.5,6540,2012,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Tomorrow People ,7,6540,2012,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Following ,7.1,6540,2012,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
To Boldly Flee ,7.2,6540,2012,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suits I Want You to Want Me ,7.7,6540,2012,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
The Counselor ,5.3,6600,2012,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Rich Hall's Inventing the Indian ,6.4,6600,2012,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Intelligence ,6.5,6600,2012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Aqua Teen Hunger Force Muscles ,7.2,6600,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Nostalgia Critic Sharknado ,6.8,6660,2012,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Revolution ,6.2,6720,2012,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
All Is Lost ,6.3,6720,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Material ,7.3,6720,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Zulu ,6.2,6780,2012,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
Escape Plan ,6.3,6780,2012,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Need for Speed ,6.8,6780,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vikings ,7.6,6780,2012,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Nostalgia Critic Ponyo ,7.1,6840,2012,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Haunter ,5.6,6900,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cleanskin ,5.9,6900,2012,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Poola Rangadu ,6.2,6900,2012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Holliston Weekend of Horrors: Part 1 ,6.8,6900,2012,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
James & Mike Mondays ,7.6,6900,2012,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Robin Hood: Ghosts of Sherwood ,1.9,6960,2012,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Four Twenty ,6.7,6960,2012,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Nostalgia Critic The Wicker Man ,7.1,6960,2012,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Hart of Dixie Where I Lead Me ,7.3,6960,2012,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cheap Thrills ,6.3,7080,2012,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Journey of Love - Das wahre Abenteuer ist die Liebe ,6.5,7080,2012,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
Funny Show Part Two: The Video - Movie ,7.3,7080,2012,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Miracle of Life ,7.5,7080,2012,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Face Off Return to Oz ,7.5,7140,2012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Saturday Night Live Vince Vaughn/Miguel ,5,7200,2012,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Search ,5.7,7200,2012,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Anger Management ,6.3,7200,2012,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Camp Takota ,6.6,7200,2012,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Psych Remake A.K.A. Cloudy... With a Chance of Improvement ,7.1,7200,2012,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Byzantium ,6.1,7440,2012,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Brows Held High The Anatomy of Hell ,6.2,7440,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Arrested Development Double Crossers ,7.1,7440,2012,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Jack and the Giants ,5.9,7500,2012,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Jolly LLB ,6.4,7500,2012,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Project X ,6.2,7620,2012,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Girls ,7,7800,2012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Her ,7.5,7800,2012,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Crime ,5.9,7860,2012,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Quartett ,6.3,7860,2012,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
Nymphomaniac: Vol. I ,6.6,7860,2012,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Arrested Development A New Start ,7.4,7860,2012,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Stolen ,5.3,7920,2012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Demo Reel Wreck-It Ralph vs Angry Birds ,6.6,7920,2012,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
RoboCop ,6.2,8040,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Graceland ,7.2,8160,2012,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Psych Lassie Jerky ,7.5,8160,2012,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Agents of S.H.I.E.L.D. The Well ,7.3,8280,2012,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Genug gesagt ,6.6,8400,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Louis C.K. Oh My God ,7.4,8400,2012,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Reverse Runner ,4.2,8460,2012,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Players ,3.8,9000,2012,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
Being Human The Panic Womb ,7.5,9000,2012,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Supernatural Out with the Old ,7.6,9000,2012,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Saturday Night Live Bruno Mars ,6.5,9180,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
New in Paradise You Wanna See Something? ,7.4,9420,2012,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
Almost Human ,7.5,9600,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Navy CIS Playing with Fire ,7.6,9600,2012,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Hart of Dixie If It Makes You Happy ,7.6,10320,2012,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
The Nostalgia Critic In Loving Memory of Justin Carmical ,7.7,12540,2012,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Supernatural Goodbye Stranger ,7.6,14400,2012,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Broadchurch ,7.6,420,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Jack Reacher ,6.4,720,2013,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Twenty Feet from Stardom ,6.9,840,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
